stamp,x,y,z,qx,qy,qz,qw
1.788340660749722242e+09,-1.079006826388743435e-03,-2.838997437830206340e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.047354680260065023e-04,9.999999535681461937e-01
1.788340660749722242e+09,-1.079006826388743435e-03,-2.838997437830206340e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.047354680260065023e-04,9.999999535681461937e-01
1.788340660749722242e+09,-1.079006826388743435e-03,-2.838997437830206340e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.047354680260065023e-04,9.999999535681461937e-01
1.788340660849855423e+09,-5.853560254484863577e-03,-4.442281348537430001e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.163944099766404293e-04,9.999999932261707247e-01
1.788340660849855423e+09,-5.853560254484863577e-03,-4.442281348537430001e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.163944099766404293e-04,9.999999932261707247e-01
1.788340660849855423e+09,-5.853560254484863577e-03,-4.442281348537430001e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.163944099766404293e-04,9.999999932261707247e-01
1.788340660949749708e+09,-5.146036098551948386e-03,-5.009169469636517991e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.912811471410300057e-04,9.999999817057610985e-01
1.788340660949749708e+09,-5.146036098551948386e-03,-5.009169469636517991e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.912811471410300057e-04,9.999999817057610985e-01
1.788340661049756765e+09,-2.414782757038972175e-03,-3.777828558614408638e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.249853905949627880e-04,9.999999746907866083e-01
1.788340661049756765e+09,-2.414782757038972175e-03,-3.777828558614408638e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.249853905949627880e-04,9.999999746907866083e-01
1.788340661049756765e+09,-2.414782757038972175e-03,-3.777828558614408638e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.249853905949627880e-04,9.999999746907866083e-01
1.788340661149822950e+09,-2.657863859686980350e-04,-4.166116455770073682e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.014552864773186532e-04,9.999999545623542430e-01
1.788340661149822950e+09,-2.657863859686980350e-04,-4.166116455770073682e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.014552864773186532e-04,9.999999545623542430e-01
1.788340661149822950e+09,-2.657863859686980350e-04,-4.166116455770073682e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.014552864773186532e-04,9.999999545623542430e-01
1.788340661249763012e+09,9.155884814747421857e-04,-7.507840776036743546e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.342363156561558527e-03,9.999944142886647569e-01
1.788340661249763012e+09,9.155884814747421857e-04,-7.507840776036743546e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.342363156561558527e-03,9.999944142886647569e-01
1.788340661249763012e+09,9.155884814747421857e-04,-7.507840776036743546e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.342363156561558527e-03,9.999944142886647569e-01
1.788340661349865675e+09,3.880662163241579976e-03,-2.199369987282242395e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.580045174598732623e-03,9.999935916177402628e-01
1.788340661349865675e+09,3.880662163241579976e-03,-2.199369987282242395e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.580045174598732623e-03,9.999935916177402628e-01
1.788340661349865675e+09,3.880662163241579976e-03,-2.199369987282242395e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.580045174598732623e-03,9.999935916177402628e-01
1.788340661349865675e+09,3.880662163241579976e-03,-2.199369987282242395e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.580045174598732623e-03,9.999935916177402628e-01
1.788340661449639559e+09,2.245400294750361965e-03,-4.802417311837491043e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.051839345479697135e-03,9.999953431274614113e-01
1.788340661449639559e+09,2.245400294750361965e-03,-4.802417311837491043e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.051839345479697135e-03,9.999953431274614113e-01
1.788340661449639559e+09,2.245400294750361965e-03,-4.802417311837491043e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.051839345479697135e-03,9.999953431274614113e-01
1.788340661549743891e+09,-1.814431297987463727e-03,-8.547878188876120720e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.146110119802473307e-04,9.999996682043945651e-01
1.788340661549743891e+09,-1.814431297987463727e-03,-8.547878188876120720e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.146110119802473307e-04,9.999996682043945651e-01
1.788340661649711132e+09,-7.715469295958902324e-03,-1.480194989422454754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675496194699283469e-03,9.999964208536508137e-01
1.788340661649711132e+09,-7.715469295958902324e-03,-1.480194989422454754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675496194699283469e-03,9.999964208536508137e-01
1.788340661649711132e+09,-7.715469295958902324e-03,-1.480194989422454754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675496194699283469e-03,9.999964208536508137e-01
1.788340661649711132e+09,-7.715469295958902324e-03,-1.480194989422454754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675496194699283469e-03,9.999964208536508137e-01
1.788340661749778271e+09,-1.779264373296418275e-02,-2.324477003511875028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.062329381691916791e-03,9.999750614408865479e-01
1.788340661749778271e+09,-1.779264373296418275e-02,-2.324477003511875028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.062329381691916791e-03,9.999750614408865479e-01
1.788340661749778271e+09,-1.779264373296418275e-02,-2.324477003511875028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.062329381691916791e-03,9.999750614408865479e-01
1.788340661849784136e+09,-3.680024839915383567e-02,-3.337871027740006435e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.159623195620043151e-03,9.999580497715462313e-01
1.788340661849784136e+09,-3.680024839915383567e-02,-3.337871027740006435e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.159623195620043151e-03,9.999580497715462313e-01
1.788340661949688196e+09,-5.911681817063352967e-02,-4.248505661499791253e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.482260038348525766e-03,9.999969191878051999e-01
