stamp,x,y,z,qx,qy,qz,qw
1.788340670449729919e+09,7.831813138257349705e-01,2.747704853723789142e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.118549938011547784e-01,9.501297084300026619e-01
1.788340670549829483e+09,7.615981406849429147e-01,2.761415971864956020e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.173709080160440066e-01,9.483014851538891232e-01
1.788340670649764538e+09,7.345673685636915362e-01,2.755322402756931854e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.153942156700503263e-01,9.489607414018104148e-01
1.788340670749685049e+09,7.659224679498207733e-01,2.747766409500714602e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.934220654354805502e-01,9.559829975033952154e-01
1.788340670849676371e+09,8.026896704704250540e-01,2.761755407683654795e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.709261658001234641e-01,9.626001312512085795e-01
1.788340670949713707e+09,8.551199989069997454e-01,2.792991060357341127e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.373930846271388173e-01,9.714136726293347568e-01
1.788340671049801826e+09,9.184452748986284831e-01,2.832801789101086598e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.958531151626472233e-01,9.806332430022383084e-01
1.788340671149633169e+09,9.846916734951826067e-01,2.867952617333047627e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.502766285584710426e-01,9.886439879497065375e-01
1.788340671249733448e+09,1.083426504929258405e+00,2.900388617855586215e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.524997569613542769e-02,9.954533852119272774e-01
1.788340671349842310e+09,1.174496597476145210e+00,2.930493335746106709e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.710679663353881608e-02,9.993113056718596621e-01
1.788340671449667454e+09,1.252295204990567568e+00,2.943212651234397903e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.506426878620016098e-02,9.998865274649605395e-01
1.788340671549805880e+09,1.322696040760158898e+00,2.935598957062497849e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.109104943294360102e-02,9.974698304663267567e-01
1.788340671649844646e+09,1.384893009832951494e+00,2.933684168699146166e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.288091954570346753e-01,9.916693961022047255e-01
1.788340671749838352e+09,1.462936912510069964e+00,2.929211104661114895e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.834555607744800532e-01,9.830280042912923344e-01
1.788340671849817276e+09,1.556997574282784180e+00,2.920146434795348522e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.392566794448138801e-01,9.709563539835566193e-01
1.788340671949650526e+09,1.653399471119373354e+00,2.897908846850125730e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.931150052002452489e-01,9.560771902552952506e-01
1.788340672049655437e+09,1.747079064544359905e+00,2.851370016451288514e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.469528502230442291e-01,9.378825724588902846e-01
1.788340672149789572e+09,1.831156648180726876e+00,2.787183746275992302e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.001439572349783091e-01,9.164522974428793711e-01
1.788340672249814749e+09,1.892325370026098685e+00,2.729106691435904342e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.503466392371731630e-01,8.928537979578646810e-01
1.788340672349803209e+09,1.941547379502553294e+00,2.665591904967540948e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.999676401009758298e-01,8.660440859747621234e-01
1.788340672449773312e+09,1.984220492764146471e+00,2.596391618193063522e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.489300732505573155e-01,8.358682759150138919e-01
1.788340672549965858e+09,2.019868867249669631e+00,2.527811219781626040e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.935737550139548180e-01,8.047795955158366654e-01
1.788340672649815559e+09,2.043856346214344200e+00,2.468381938141394727e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.169710967281727410e-01,7.869858104197530180e-01
1.788340672749748230e+09,2.060833254729525166e+00,2.466595192955744142e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.195665188427262882e-01,7.849441564398741411e-01
1.788340672849662304e+09,2.064903172980226742e+00,2.475643265924969860e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.161071646481559583e-01,7.876623398825223221e-01
1.788340672949824333e+09,2.054245952680453957e+00,2.460152445204510041e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.144848899344151905e-01,7.889285899511371269e-01
1.788340673049794912e+09,2.054626113308218205e+00,2.467668587707485095e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.072374680091344734e-01,7.945203946066177192e-01
1.788340673149700880e+09,2.060982376356960355e+00,2.507000874896816001e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.875386216342848300e-01,8.091961246126210261e-01
1.788340673249800444e+09,2.054023985510407435e+00,2.557830222957683475e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.636925997851172099e-01,8.259846566053729022e-01
1.788340673349636316e+09,2.028762424771467732e+00,2.615090007146248841e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.349537746151273865e-01,8.448813283680894903e-01
1.788340673449704170e+09,1.989122980929834972e+00,2.684667049379087178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.935805393783613826e-01,8.697000926451402547e-01
1.788340673549654484e+09,1.943114533268406774e+00,2.754143780090630322e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.503774881567855770e-01,8.928382373989054432e-01
1.788340673649777412e+09,1.893821674927936849e+00,2.795908223917617619e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.259103122881097714e-01,9.047653872063435854e-01
1.788340673749868631e+09,1.867138674172997392e+00,2.801014789026706531e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.154442858898343971e-01,9.096186263052694621e-01
1.788340673849783421e+09,1.850055248225648485e+00,2.795155199826784731e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.139677102450282087e-01,9.102915658592518611e-01
1.788340673949720860e+09,1.819808239450545040e+00,2.815582086295334907e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.093136553166298874e-01,9.123937371394758022e-01
1.788340674049690247e+09,1.775565692710311616e+00,2.862056069423135174e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.899996956118809144e-01,9.208149854463925088e-01
1.788340674149729252e+09,1.718123293605487767e+00,2.914564048371224292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.650060680463834695e-01,9.310051397759944170e-01
1.788340674249696016e+09,1.652549336505495514e+00,2.969146976656752202e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.296827820924758123e-01,9.440917662980463643e-01
1.788340674349813223e+09,1.577796121828114018e+00,3.013291035330988965e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.943949706391058019e-01,9.556838395946642972e-01
1.788340674449769258e+09,1.492457224153775242e+00,3.050491892319379783e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.501154868779790208e-01,9.682160106214890982e-01
1.788340674550051928e+09,1.393606530581399161e+00,3.070716215599182508e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.174410373327640422e-01,9.760734579342128514e-01
1.788340674649992466e+09,1.287780153064431055e+00,3.084935912319409557e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.848631087608102741e-01,9.827642804962383183e-01
1.788340674749658823e+09,1.177130065526844405e+00,3.093968821774883970e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.483837795521626424e-01,9.889298529045500441e-01
1.788340674849806309e+09,1.058750497128327250e+00,3.097333498883687142e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.251002630828867979e-01,9.921441045415694271e-01
1.788340674949628115e+09,9.335056594297014287e-01,3.098151998507613136e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.897407562129569014e-02,9.950900121872945370e-01
1.788340675049751520e+09,8.085457638726174512e-01,3.096639702341605016e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.773767423732397763e-02,9.977031660212961617e-01
1.788340675149699450e+09,6.883261679659062882e-01,3.085312390676882011e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.383580361072743542e-02,9.985498015870750699e-01
